Logging to ./data/mlmc_analysis/seed_1
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.579       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 10          |
|    time_elapsed         | 2310        |
|    total_timesteps      | 25000       |
| train/                  |             |
|    approx_kl            | 0.005613636 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.1         |
|    entropy_loss         | 94.8        |
|    explained_variance   | -0.664      |
|    learning_rate        | 1e-05       |
|    loss                 | 0.104       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00804    |
|    std                  | 0.055       |
|    value_loss           | 0.0521      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 20          |
|    time_elapsed         | 4610        |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.005715118 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.1         |
|    entropy_loss         | 94.8        |
|    explained_variance   | 0.00745     |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0918      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0079     |
|    std                  | 0.055       |
|    value_loss           | 0.0298      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.578        |
| time/                   |              |
|    fps                  | 4            |
|    iterations           | 30           |
|    time_elapsed         | 16793        |
|    total_timesteps      | 75000        |
| train/                  |              |
|    approx_kl            | 0.0050280183 |
|    clip_fraction        | 0.148        |
|    clip_range           | 0.1          |
|    entropy_loss         | 94.8         |
|    explained_variance   | 0.261        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0883       |
|    n_updates            | 580          |
|    policy_gradient_loss | -0.00794     |
|    std                  | 0.055        |
|    value_loss           | 0.0234       |
------------------------------------------
------------------------------------------------------------------
| expt_results/           |                                      |
|    C_l                  | [0.06, 0.15, 1.0]                    |
|    N                    | 100000                               |
|    P_l                  | [-0.0835, -0.0826, -0.0817]          |
|    V_l                  | [1.0, 1.0, 1.0]                      |
| mc_results/             |                                      |
|    C_mc                 | 1                                    |
|    N_mc                 | [200, 1997, 19963]                   |
|    P_mc                 | [-0.0352, -0.0462, -0.076]           |
|    V_mc                 | 1                                    |
|    eps_mc               | [0.1        0.03162278 0.01      ]   |
| mlmc_results/           |                                      |
|    C_ml                 | [[0.06, 0.21, 1.15], [0.06, 0.21,... |
|    N_ml                 | [[382, 31, 13], [3815, 302, 126],... |
|    P_ml                 | [-0.1093, -0.0744, -0.0779]          |
|    V_ml                 | [[1.0, 0.02, 0.02], [1.0, 0.02, 0... |
|    a,b,g                | [3.21, 2.8, 2.13]                    |
|    eps_ml               | [0.1        0.03162278 0.01      ]   |
| rollout/                |                                      |
|    ep_len_mean          | 5                                    |
|    ep_rew_mean          | 0.587                                |
| time/                   |                                      |
|    fps                  | 5                                    |
|    iterations           | 40                                   |
|    time_elapsed         | 19092                                |
|    total_timesteps      | 100000                               |
| train/                  |                                      |
|    approx_kl            | 0.0057437844                         |
|    clip_fraction        | 0.144                                |
|    clip_range           | 0.1                                  |
|    entropy_loss         | 94.8                                 |
|    explained_variance   | 0.457                                |
|    learning_rate        | 1e-05                                |
|    loss                 | 0.0889                               |
|    n_updates            | 780                                  |
|    policy_gradient_loss | -0.00805                             |
|    std                  | 0.055                                |
|    value_loss           | 0.0176                               |
------------------------------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.592       |
| time/                   |             |
|    fps                  | 5           |
|    iterations           | 50          |
|    time_elapsed         | 21385       |
|    total_timesteps      | 125000      |
| train/                  |             |
|    approx_kl            | 0.005723369 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.1         |
|    entropy_loss         | 94.8        |
|    explained_variance   | 0.512       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.081       |
|    n_updates            | 980         |
|    policy_gradient_loss | -0.00961    |
|    std                  | 0.055       |
|    value_loss           | 0.016       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.594        |
| time/                   |              |
|    fps                  | 4            |
|    iterations           | 60           |
|    time_elapsed         | 33324        |
|    total_timesteps      | 150000       |
| train/                  |              |
|    approx_kl            | 0.0052863974 |
|    clip_fraction        | 0.13         |
|    clip_range           | 0.1          |
|    entropy_loss         | 94.8         |
|    explained_variance   | 0.55         |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0848       |
|    n_updates            | 1180         |
|    policy_gradient_loss | -0.00665     |
|    std                  | 0.055        |
|    value_loss           | 0.0143       |
------------------------------------------
------------------------------------------------------------------
| expt_results/           |                                      |
|    C_l                  | [0.06, 0.15, 1.0]                    |
|    N                    | 100000                               |
|    P_l                  | [-0.0858, -0.0852, -0.0847]          |
|    V_l                  | [1.0, 1.0, 1.0]                      |
| mc_results/             |                                      |
|    C_mc                 | 1                                    |
|    N_mc                 | [201, 2006, 20053]                   |
|    P_mc                 | [-0.1652, -0.0765, -0.09]            |
|    V_mc                 | 1                                    |
|    eps_mc               | [0.1        0.03162278 0.01      ]   |
| mlmc_results/           |                                      |
|    C_ml                 | [[0.06, 0.21, 1.15], [0.06, 0.21,... |
|    N_ml                 | [[408, 37, 16], [4079, 367, 154],... |
|    P_ml                 | [-0.052, -0.0355, -0.0799]           |
|    V_ml                 | [[1.0, 0.03, 0.03], [1.0, 0.03, 0... |
|    a,b,g                | [3.69, 2.61, 2.13]                   |
|    eps_ml               | [0.1        0.03162278 0.01      ]   |
| rollout/                |                                      |
|    ep_len_mean          | 5                                    |
|    ep_rew_mean          | 0.595                                |
| time/                   |                                      |
|    fps                  | 4                                    |
|    iterations           | 70                                   |
|    time_elapsed         | 35614                                |
|    total_timesteps      | 175000                               |
| train/                  |                                      |
|    approx_kl            | 0.005318537                          |
|    clip_fraction        | 0.137                                |
|    clip_range           | 0.1                                  |
|    entropy_loss         | 94.8                                 |
|    explained_variance   | 0.621                                |
|    learning_rate        | 1e-05                                |
|    loss                 | 0.0798                               |
|    n_updates            | 1380                                 |
|    policy_gradient_loss | -0.00799                             |
|    std                  | 0.055                                |
|    value_loss           | 0.0122                               |
------------------------------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.598        |
| time/                   |              |
|    fps                  | 5            |
|    iterations           | 80           |
|    time_elapsed         | 37904        |
