time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/clip_range,train/value_loss,train/n_updates,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1,5.0,4750,0.5855720799999999,57,82,,,,,,,,,,,,,
2,5.0,9500,0.5792773899999999,98,96,0.1,0.08895621091593058,20,-4.620298385620117,-94.79067520141602,1e-05,0.013840185,-0.0036703722264864957,0.05501813441514969,0.047299690544605255,0.3556624912408491,,
3,5.0,14250,0.57910019,140,101,0.1,0.02385585237449656,40,0.07838958501815796,-94.79365622202555,1e-05,0.02642089,0.005890368549435371,0.055017970502376556,0.02789425104856491,0.42325415544134254,,
4,5.0,19000,0.58315785,180,105,0.1,0.019490752519211837,60,0.4001813530921936,-94.79456350538466,1e-05,0.018631116,0.004565668728033604,0.05501723662018776,0.0406385138630867,0.3896805456412646,,
5,5.0,23750,0.5837865,220,107,0.1,0.016708229952270077,80,0.4905306100845337,-94.7952450525193,1e-05,0.024491176,0.016112892914365236,0.05501656234264374,0.03383691608905792,0.48008332195736114,,
6,5.0,28500,0.57991921,261,109,0.1,0.013335487838291252,100,0.5727968811988831,-94.79429197311401,1e-05,0.030805083,0.017902129466983597,0.0550190731883049,0.03575625270605087,0.5051145702726596,,
7,5.0,33250,0.58024423,300,110,0.1,0.013961606246552297,120,0.58758345246315,-94.79291389102028,1e-05,0.028158939,0.013539593208466873,0.05501892417669296,0.04049520567059517,0.47738689276545,,
8,5.0,38000,0.5819379800000001,340,111,0.1,0.01298106597426037,140,0.6358543634414673,-94.79124018351237,1e-05,0.023413092,0.012979364532232003,0.05502275377511978,0.036630481481552124,0.48950554391990103,,
9,5.0,42750,0.5813338399999999,379,112,0.1,0.01339473264809284,160,0.6405015587806702,-94.78765458848741,1e-05,0.035013724,0.014128468264794924,0.05502317100763321,0.007321275770664215,0.4779666541216688,,
10,5.0,47500,0.58307143,441,107,0.1,0.012958463047592279,180,0.6378823518753052,-94.7881091594696,1e-05,0.04541217,0.013386956792869265,0.05502283573150635,-0.0040960535407066345,0.4868333219220707,5.0,0.6121361169511976
11,5.0,52250,0.58120777,482,108,0.1,0.011909402152350932,200,0.6730876564979553,-94.7869677790889,1e-05,0.030433191,0.00924475251152139,0.05502549186348915,0.021844718605279922,0.4855092466774362,,
12,5.0,57000,0.5806870000000001,521,109,0.1,0.011608068836438987,220,0.6761831939220428,-94.78461229536268,1e-05,0.021708623,0.006629310182021988,0.055026620626449585,0.04725801944732666,0.4362708228459168,,
13,5.0,61750,0.58326303,560,110,0.1,0.010094386085660921,240,0.7061090767383575,-94.78069407145182,1e-05,0.018404176,0.006935454041860894,0.055032581090927124,0.04889924079179764,0.424319433581291,,
14,5.0,66500,0.5909276099999999,600,110,0.1,0.010192432458622053,260,0.7103551626205444,-94.77974060656977,1e-05,0.028666066,0.012636546084007896,0.05502744019031525,0.06106424704194069,0.48955390959539835,,
15,5.0,71250,0.5867315900000001,639,111,0.1,0.011274770931858155,280,0.7124302089214325,-94.78326375749376,1e-05,0.022952253,0.008539864481806325,0.055027835071086884,0.03389135003089905,0.44330554466772204,,
16,5.0,76000,0.5875893499999999,678,112,0.1,0.009308542334474623,300,0.7359578609466553,-94.78360328674316,1e-05,0.024384504,0.012534699940919101,0.05502612888813019,0.057282455265522,0.4217249894281849,,
17,5.0,80750,0.5876615199999999,719,112,0.1,0.010040854470959554,320,0.7216194868087769,-94.78182834625244,1e-05,0.021652842,0.007699703954828533,0.055030886083841324,0.029072927311062813,0.4682583208878835,,
18,5.0,85500,0.58686636,757,112,0.1,0.009064371751931807,340,0.7474509477615356,-94.7787265141805,1e-05,0.02767486,0.009876456151560381,0.05503126233816147,0.02776338905096054,0.4449027669292668,,
19,5.0,90250,0.5863397499999999,796,113,0.1,0.00994147475187977,360,0.7465702891349792,-94.77853813171387,1e-05,0.026061853,0.017054693517706263,0.055031731724739075,0.027191083878278732,0.4690773702503759,,
20,5.0,95000,0.5913516799999999,860,110,0.1,0.008958209146900724,380,0.7547802180051804,-94.77604557673136,1e-05,0.032605823,0.008618067202095212,0.05503533035516739,-0.002839803695678711,0.46765102945792025,5.0,0.6257844625496947
21,5.0,99750,0.5840103600000001,900,110,0.1,0.008496874322493872,400,0.766724094748497,-94.77329295930409,1e-05,0.04334027,0.017294482613949058,0.055035240948200226,0.024202320724725723,0.4887023693660185,,
