time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_ep_length,eval/mean_reward
1,88,56,5000,5.0,0.6788851300000001,,,,,,,,,,,,,
2,165,60,10000,5.0,0.6820988500000001,0.2795156639069319,20,-3.2213921546936035,0.011960000544786454,-31.102159481048584,0.15420204401016235,1e-06,0.0013034223,0.1,-0.004624465649981175,0.05502384155988693,,
3,242,61,15000,5.0,0.67974375,0.2522385510802269,40,-2.9393489360809326,0.011490000578342006,-31.10210753440857,0.14259184896945953,1e-06,0.0013613417,0.1,-0.003873237937515963,0.05502357333898544,,
4,319,62,20000,5.0,0.6816947400000002,0.2369284776598215,60,-2.769758939743042,0.004460000188555568,-31.10195502281189,0.1296074241399765,1e-06,0.00089046493,0.1,-0.0034351845729489127,0.05502469837665558,,
5,396,62,25000,5.0,0.6848368800000002,0.22085866808891297,80,-2.5428826808929443,0.009500000508269294,-31.101581230163575,0.1409219205379486,1e-06,0.0010430356,0.1,-0.003455543471552467,0.055025432258844376,,
6,474,63,30000,5.0,0.6762516500000001,0.20721265457570553,100,-2.3278086185455322,0.01863000086392276,-31.10141816139221,0.12917594611644745,1e-06,0.0014930852,0.1,-0.004206435522603762,0.05502551048994064,,
7,551,63,35000,5.0,0.6828058800000001,0.1888761681318283,120,-2.1124637126922607,0.011550000582356007,-31.101485595703124,0.12634682655334473,1e-06,0.0011216076,0.1,-0.0039946644743985614,0.05502511188387871,,
8,628,63,40000,5.0,0.68206595,0.1816918932646513,140,-1.9142355918884277,0.01871000087237917,-31.10162573814392,0.10466651618480682,1e-06,0.0016552391,0.1,-0.004144340291184676,0.055024851113557816,,
9,704,63,45000,5.0,0.6864622,0.16612171180546284,160,-1.8529253005981445,0.012330000540241599,-31.101446294784544,0.10306141525506973,1e-06,0.0012325037,0.1,-0.004299660260172793,0.0550260953605175,,
10,798,62,50000,5.0,0.6834590800000001,0.16074790075421333,180,-1.7786643505096436,0.014220000671921298,-31.10113226890564,0.10577929019927979,1e-06,0.0014095958,0.1,-0.0038741764013452283,0.05502629280090332,5.0,0.6879635946121038
11,874,62,55000,5.0,0.68326354,0.15245040725916625,200,-1.6694185733795166,0.021310000870143994,-31.101022701263428,0.10251471400260925,1e-06,0.0014418078,0.1,-0.004686524495463633,0.055026840418577194,,
12,950,63,60000,5.0,0.6854325,0.1396320892125368,220,-1.4161057472229004,0.010300000534625724,-31.10101855278015,0.09586338698863983,1e-06,0.0011827156,0.1,-0.003960824303952033,0.05502614006400108,,
13,1026,63,65000,5.0,0.68870237,0.13544434238225223,240,-1.4960706233978271,0.022670000911457464,-31.10117650985718,0.08851989358663559,1e-06,0.0016225189,0.1,-0.00446437025654987,0.05502620339393616,,
14,1101,63,70000,5.0,0.6854185700000001,0.1255429568886757,260,-1.3454511165618896,0.010090000475756825,-31.101120653152467,0.0852874368429184,1e-06,0.0011210239,0.1,-0.003476246607194753,0.05502636730670929,,
15,1176,63,75000,5.0,0.6869787,0.12258659116923809,280,-1.3521320819854736,0.01485000059590675,-31.10102246284485,0.08169318735599518,1e-06,0.001232126,0.1,-0.0038679940905042855,0.055026713758707047,,
16,1252,63,80000,5.0,0.6854897099999999,0.1143089010566473,300,-1.158691644668579,0.010270000473828986,-31.10083553314209,0.0755031481385231,1e-06,0.0012603297,0.1,-0.0036185429843431116,0.05502734333276749,,
17,1328,64,85000,5.0,0.6840130099999999,0.11190735820680857,320,-1.1684656143188477,0.02210000093909912,-31.100526094436646,0.08187037706375122,1e-06,0.0015067392,0.1,-0.004454885723026329,0.05502838268876076,,
18,1403,64,90000,5.0,0.6840161599999999,0.10452590633183717,340,-1.0801103115081787,0.007780000413767993,-31.10023856163025,0.07772573083639145,1e-06,0.0011583157,0.1,-0.0035983157135441157,0.0550287589430809,,
19,1479,64,95000,5.0,0.6846691199999998,0.10421025283634662,360,-1.0619702339172363,0.009540000492706894,-31.100324754714965,0.08191630244255066,1e-06,0.0010836928,0.1,-0.003450844759746907,0.05502796173095703,,
20,1573,63,100000,5.0,0.68705713,0.09776232920587064,380,-0.9466937780380249,0.015180000653490424,-31.10050129890442,0.07222934067249298,1e-06,0.0013724508,0.1,-0.00410849983635968,0.055027905851602554,5.0,0.7017491909813176
21,1649,63,105000,5.0,0.6856478100000001,0.09325944621115922,400,-0.9124521017074585,0.017700000774348155,-31.100436811447143,0.06923680752515793,1e-06,0.0014245141,0.1,-0.0041057248495484444,0.055028285831213,,
22,1725,63,110000,5.0,0.6917077199999998,0.09190731409937143,420,-0.9125649929046631,0.015070000650594011,-31.100251865386962,0.06611274927854538,1e-06,0.0014059279,0.1,-0.004052356857511976,0.055028870701789856,,
23,1801,63,115000,5.0,0.6828405699999998,0.09086429059505463,440,-0.8873039484024048,0.011860000531887635,-31.099881954193116,0.07034227252006531,1e-06,0.0011896968,0.1,-0.003900848283947802,0.0550302118062973,,
24,1876,63,120000,5.0,0.6903430399999999,0.08466106303036212,460,-0.7665107250213623,0.017620000768220054,-31.099526481628416,0.06856289505958557,1e-06,0.0013415425,0.1,-0.0040416941708162745,0.055030617862939835,,
25,1953,64,125000,5.0,0.6865204699999999,0.08277050469070674,480,-0.7418087720870972,0.014850000670412556,-31.099514484405518,0.061570990830659866,1e-06,0.0012522514,0.1,-0.00406939732129203,0.05503024533390999,,
26,2029,64,130000,5.0,0.68843581,0.07981271293014287,500,-0.6924711465835571,0.0178400007635355,-31.09955569267273,0.05969902127981186,1e-06,0.0014607349,0.1,-0.004039256900334909,0.05503058433532715,,
27,2105,64,135000,5.0,0.6851128100000001,0.07638001034036279,520,-0.6315159797668457,0.021610000900691376,-31.09953498840332,0.05743289738893509,1e-06,0.001603053,0.1,-0.004874146730033506,0.0550302229821682,,
28,2181,64,140000,5.0,0.6852876400000001,0.07239987727254629,540,-0.5674422979354858,0.014330000648042187,-31.099498739242552,0.05822453275322914,1e-06,0.0013766377,0.1,-0.004436386291839254,0.055030856281518936,,
29,2257,64,145000,5.0,0.6888940700000002,0.07219339730218052,560,-0.5509018898010254,0.016700000743148848,-31.0992472076416,0.05656535178422928,1e-06,0.001589483,0.1,-0.004319161240519103,0.05503150448203087,,
