time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/value_loss,train/approx_kl,train/n_updates,eval/mean_reward,eval/mean_ep_length
62,1,124,0.68418819,5.0,7750,,,,,,,,,,,,,
112,2,137,0.6794545800000001,5.0,15500,-31.102266025543212,1e-06,-0.0004591945415380147,0.23545615375041962,-7.915514945983887,0.005780952396453359,0.05502331256866455,0.1,0.4146870318055153,0.00081335846,20,,
160,3,144,0.6835384199999999,5.0,23250,-31.10248769760132,1e-06,-0.0013828479133479287,0.20212171971797943,-7.047834396362305,0.01379880957887508,0.05502189323306084,0.1,0.38369554065167905,0.0012206768,40,,
207,4,149,0.6819934900000001,5.0,31000,-31.102647399902345,1e-06,-0.0019490137649153905,0.19378244876861572,-6.524755477905273,0.0072416666665230875,0.0550227165222168,0.1,0.3531524456292391,0.0010915615,60,,
255,5,151,0.6818731600000001,5.0,38750,-31.102298765182496,1e-06,-0.0021971287266128047,0.1744881570339203,-5.815617084503174,0.012349999978905544,0.055023591965436935,0.1,0.3150290706381202,0.0010242118,80,,
303,6,153,0.6815163700000002,5.0,46500,-31.10202513694763,1e-06,-0.0006354320614064957,0.17256513237953186,-5.3393330574035645,0.008809523806266952,0.05502413213253021,0.1,0.28918471034616233,0.00094599876,100,,
350,7,154,0.68368379,5.0,54250,-31.10161668777466,1e-06,-0.001731063094610823,0.14516884088516235,-4.927282333374023,0.0057785714257624935,0.055025890469551086,0.1,0.27823469184339045,0.0009310654,120,,
398,8,155,0.6810701199999998,5.0,62000,-31.10118724822998,1e-06,-0.0017797447564632308,0.14919209480285645,-4.683990001678467,0.010815476168645546,0.05502619221806526,0.1,0.26081119462847707,0.0010856418,140,,
446,9,156,0.6843647000000002,5.0,69750,-31.101239647865295,1e-06,-0.0011397512340032378,0.14302919805049896,-4.15204381942749,0.007979761920578312,0.055025648325681686,0.1,0.23388597313314677,0.0011344152,160,,
516,10,150,0.67939463,5.0,77500,-31.101236162185668,1e-06,-0.0010301964064837498,0.1352081596851349,-3.8885016441345215,0.00696666667034151,0.05502631515264511,0.1,0.2177602519467473,0.0010390297,180,0.6809462029370905,5.0
565,11,150,0.6827597200000001,5.0,85250,-31.101313309669493,1e-06,-0.0020910242491626206,0.12899063527584076,-3.573183059692383,0.003066666678932961,0.05502518266439438,0.1,0.2054226104915142,0.0008638031,200,,
614,12,151,0.68004305,5.0,93000,-31.101475310325622,1e-06,-0.0011374327775304672,0.12116307020187378,-3.370999336242676,0.009694047656666952,0.055025551468133926,0.1,0.19142092319205403,0.0010977241,220,,
661,13,152,0.6804320800000001,5.0,100750,-31.101314373016358,1e-06,-0.001072951644255502,0.1133655533194542,-3.1992239952087402,0.00734166670270497,0.055025942623615265,0.1,0.18931564170867204,0.00080321904,240,,
709,14,152,0.6827871900000001,5.0,108500,-31.101144552230835,1e-06,-0.001923604005941255,0.11614617705345154,-2.989877939224243,0.009258333350589964,0.055026475340127945,0.1,0.1797852949053049,0.0010971178,260,,
756,15,153,0.67588972,5.0,116250,-31.101181163787842,1e-06,-0.0015421615127685002,0.11367043107748032,-2.822192430496216,0.005888095244008582,0.05502569302916527,0.1,0.17122006421908736,0.0010658002,280,,
805,16,153,0.6862153500000001,5.0,124000,-31.10137899875641,1e-06,-0.0017078531821830612,0.10803312063217163,-2.6198692321777344,0.006219047611521092,0.05502552166581154,0.1,0.1653442988358438,0.0010335599,300,,
852,17,154,0.68855113,5.0,131750,-31.101308884620668,1e-06,-0.0011629515043100457,0.09825948625802994,-2.56662654876709,0.006438095264311414,0.05502612516283989,0.1,0.1548088175803423,0.0011126602,320,,
902,18,154,0.6827703399999998,5.0,139500,-31.101100468635558,1e-06,-2.353009008059237e-06,0.09815472364425659,-2.4185311794281006,0.009022619054885581,0.05502653867006302,0.1,0.1565727810561657,0.0011764038,340,,
949,19,155,0.68001021,5.0,147250,-31.100788764953613,1e-06,-0.0007367418142899928,0.0972822830080986,-2.192676067352295,0.006673809530911967,0.05502781644463539,0.1,0.1414558685384691,0.00081510865,360,,
1017,20,152,0.68483423,5.0,155000,-31.100555000305175,1e-06,-0.0004128855428380218,0.09304676204919815,-2.212873935699463,0.004482142876368016,0.05502765625715256,0.1,0.1426268388144672,0.0008888402,380,0.6938822191020892,5.0
1064,21,152,0.6831247500000001,5.0,162750,-31.100456066131592,1e-06,-0.0017045229877445767,0.08689946681261063,-2.0079846382141113,0.011521428568521515,0.05502839386463165,0.1,0.1375179363973439,0.0011799937,400,,
1112,22,153,0.6884698800000001,5.0,170500,-31.100380415916444,1e-06,-0.0012937720665613694,0.09253237396478653,-1.9858429431915283,0.0037083333256305194,0.05502795800566673,0.1,0.1347981992736459,0.000884528,420,,
1160,23,153,0.6857777699999998,5.0,178250,-31.100695691108704,1e-06,-0.0007270431522213805,0.0887129008769989,-1.8448877334594727,0.007096428551594727,0.05502680316567421,0.1,0.12745212066918613,0.0011667435,440,,
1207,24,154,0.6896951599999999,5.0,186000,-31.1008943605423,1e-06,-0.0010644987972694509,0.0836435928940773,-1.69815993309021,0.010521428573701997,0.05502705276012421,0.1,0.12326609628275037,0.0012670164,460,,
1255,25,154,0.6879118199999997,5.0,193750,-31.100972476005555,1e-06,-0.001951597678013579,0.0805896446108818,-1.6902108192443848,0.007564285722910426,0.05502620339393616,0.1,0.12319466402754188,0.0011415405,480,,
1301,26,154,0.6811011300000002,5.0,201500,-31.101313796043396,1e-06,-0.0012751768961529386,0.0793914645910263,-1.5317611694335938,0.006004761926014908,0.055025290697813034,0.1,0.11431679312139749,0.0009854444,500,,
1348,27,155,0.6852225299999999,5.0,209250,-31.10135003089905,1e-06,-0.0018815741292334278,0.08120051771402359,-1.51621413230896,0.0056238095174194315,0.055026087909936905,0.1,0.1127349821291864,0.001113647,520,,
