time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/approx_kl,train/learning_rate,train/std,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,121,63,0.6867739700000002,7750,5.0,,,,,,,,,,,,,
2,135,114,0.6738984700000001,15500,5.0,0.16331526637077332,0.0011907865,1e-06,0.055023226886987686,-0.0019952671811963273,20,0.1,-3.2287673950195312,0.2782871914282441,0.011295238086604513,-31.102264375686644,,
3,141,164,0.6884313299999999,23250,5.0,0.15818001329898834,0.001158949,1e-06,0.055023953318595886,-0.0019019146808690766,40,0.1,-2.947148084640503,0.25084763661026954,0.012424999987706542,-31.102162442207337,,
4,144,215,0.6835432800000001,31000,5.0,0.1412622034549713,0.001391106,1e-06,0.055024970322847366,-0.0018608564376620018,60,0.1,-2.78361177444458,0.2378605568408966,0.022405952519038694,-31.101833987236024,,
5,146,264,0.6866771199999999,38750,5.0,0.1275150179862976,0.0016897111,1e-06,0.05502501130104065,-0.0016506869236263056,80,0.1,-2.401784658432007,0.21840704463422297,0.01962738093541702,-31.101601724624633,,
6,148,312,0.68596083,46500,5.0,0.11175347119569778,0.001025236,1e-06,0.055024851113557816,-0.001379069454121904,100,0.1,-2.27131724357605,0.20695514988154173,0.006935714277205989,-31.101631870269774,,
7,149,361,0.68556262,54250,5.0,0.11064781993627548,0.0013674496,1e-06,0.05502580478787422,-0.0020853948414915947,120,0.1,-2.1993186473846436,0.19172368751838803,0.01733095238421811,-31.10149540424347,,
8,151,410,0.6828855999999999,62000,5.0,0.12177929282188416,0.0011093277,1e-06,0.05502619221806526,-0.001787516069392705,140,0.1,-1.907881736755371,0.18404572639614344,0.010971428625634872,-31.10122685432434,,
9,151,459,0.68286446,69750,5.0,0.1097792461514473,0.0013555109,1e-06,0.055027589201927185,-0.0024666846882967696,160,0.1,-1.8547542095184326,0.17165554467588662,0.013739285675401334,-31.100904908180237,,
10,146,530,0.6859879099999998,77500,5.0,0.0980137437582016,0.0012481255,1e-06,0.05502862110733986,-0.0012959420024573553,180,0.1,-1.816122055053711,0.16574586158618332,0.014738095301436261,-31.100407900810243,5.0,0.692350062698591
